일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2024/02/05,"74,200","74,800","73,700","73,800",▼,"-1,400","-1.86","5,755,855","426,852","0","0","0","0","865,655","-1,215,926","54.55"
2024/02/02,"74,000","75,200","73,700","75,200",▲,"1,600","+2.17","14,955,881","1,116,696","0.10","-3,837,104","1,992,933","2,531,797","1,156,110","2,268,879","54.55"
2024/02/01,"73,000","74,200","72,900","73,600",▲,"900","+1.24","19,881,033","1,460,989","0.09","-710,966","-4,377,851","5,212,585","4,356,581","4,011,158","54.51"
2024/01/31,"73,400","74,000","72,500","72,700",▼,"-1,600","-2.15","15,703,560","1,148,592","0.09","2,565,534","-1,277,156","-86,435","-862,763","-262,809","54.42"
2024/01/30,"75,000","75,300","73,700","74,300",▼,"-100","-0.13","12,244,418","910,103","0.10","608,262","14,472","-488,223","-626,659","-20,512","54.43"
2024/01/29,"73,800","75,200","73,500","74,400",▲,"1,000","+1.36","13,976,521","1,040,949","0.09","-2,480,369","-417,687","2,879,889","1,597,761","1,089,523","54.43"
2024/01/26,"73,700","74,500","73,300","73,400",▼,"-700","-0.94","11,160,062","824,499","0.10","-16,743","-789,926","1,937,427","-207,106","571,769","54.39"
2024/01/25,"74,200","74,800","73,700","74,100",▲,"100","+0.14","11,737,747","870,262","0.09","-731,455","-89,590","929,075","777,929","-792,833","54.35"
2024/01/24,"75,200","75,200","73,500","74,000",▼,"-1,200","-1.60","12,860,661","950,730","0.09","1,075,707","-926,539","-201,286","344,152","127,397","54.34"
2024/01/23,"75,700","75,800","74,300","75,200",▲,"100","+0.13","14,786,224","1,109,207","0.10","-1,096,258","-133,492","1,755,814","1,671,030","76,767","54.34"
2024/01/22,"75,900","76,000","75,000","75,100",▲,"400","+0.54","19,673,375","1,484,936","0.11","-1,726,794","-163,819","1,632,702","3,726,817","-1,756,207","54.31"
2024/01/19,"73,500","74,700","73,000","74,700",▲,"3,000","+4.18","23,363,427","1,729,033","0.10","-5,763,864","-509,888","6,344,971","6,874,669","2,710,079","54.28"
2024/01/18,"71,600","72,000","70,700","71,700",▲,"700","+0.99","17,853,397","1,274,268","0.10","742,975","59,931","-389,617","-1,062,882","-2,150,425","54.18"
2024/01/17,"73,100","73,300","71,000","71,000",▼,"-1,600","-2.20","22,683,660","1,627,051","0.10","3,519,968","-525,968","-3,416,756","-4,454,110","-2,433,009","54.18"
2024/01/16,"73,500","73,700","72,500","72,600",▼,"-1,300","-1.76","14,760,415","1,075,977","0.10","2,219,059","-1,516,685","-838,820","-870,450","-1,899,918","54.24"
2024/01/15,"73,200","74,000","73,200","73,900",▲,"800","+1.09","13,212,339","973,180","0.10","-1,114,739","270,342","1,175,429","1,374,512","-361,684","54.25"
2024/01/12,"73,000","74,100","72,800","73,100",▼,"-100","-0.14","13,038,939","956,812","0.09","1,118,941","-753,303","-12,342,540","-692,510","-1,323,257","54.23"
2024/01/11,"72,900","73,600","72,700","73,200",▼,"-400","-0.54","57,691,266","4,206,813","0.08","7,898,171","-31,256,766","26,059,033","-3,281,874","-2,266,990","54.44"
2024/01/10,"75,000","75,200","73,200","73,600",▼,"-1,100","-1.47","20,259,529","1,497,565","0.08","2,325,613","-1,023,455","-1,809,533","-2,689,089","892,134","54.00"
2024/01/09,"77,400","77,700","74,300","74,700",▼,"-1,800","-2.35","26,019,249","1,971,737","0.07","2,426,692","-1,252,350","-2,420,757","-1,060,644","-1,560,083","54.03"
2024/01/08,"77,000","77,500","76,400","76,500",▼,"-100","-0.13","11,088,724","852,681","0.07","708,813","-1,383,150","888,510","496,495","-581,250","54.07"
2024/01/05,"76,700","77,100","76,400","76,600", ,"0","0","11,304,316","866,836","0.06","1,546,560","-1,051,550","748,011","-547,113","-605,344","54.06"
2024/01/04,"76,100","77,300","76,100","76,600",▼,"-400","-0.52","15,324,439","1,173,913","0.06","1,848,160","-2,491,314","234,386","-1,008,971","-469,821","54.05"
2024/01/03,"78,500","78,800","77,000","77,000",▼,"-2,600","-3.27","21,753,644","1,691,691","0.06","3,585,628","-3,892,083","-324,764","1,615,625","-4,281,679","54.04"
2024/01/02,"78,200","79,800","78,200","79,600",▲,"1,100","+1.40","17,142,847","1,356,958","0.06","-2,845,635","564,768","3,078,269","4,033,721","107,786","54.05"
2023/12/28,"77,700","78,500","77,500","78,500",▲,"500","+0.64","17,797,536","1,388,291","0.06","-3,138,451","2,849,040","207,976","2,947,592","2,954,304","54.00"
2023/12/27,"76,700","78,000","76,500","78,000",▲,"1,400","+1.83","20,651,042","1,600,118","0.06","-2,939,227","-1,105,606","4,856,843","4,769,966","960,688","53.99"
2023/12/26,"76,100","76,700","75,700","76,600",▲,"700","+0.92","13,164,909","1,005,443","0.06","-4,349,715","3,964,738","-747,458","379,263","2,350,467","53.91"
2023/12/22,"75,800","76,300","75,400","75,900",▲,"900","+1.20","14,515,608","1,100,293","0.06","-4,407,276","2,447,623","1,179,904","1,932,239","1,719,527","53.92"
2023/12/21,"74,600","75,000","74,300","75,000",▲,"200","+0.27","13,478,766","1,006,936","0.07","-3,680,520","1,004,505","2,560,349","2,920,339","819,412","53.90"
2023/12/20,"74,200","74,900","73,800","74,800",▲,"1,400","+1.91","16,870,156","1,253,492","0.07","-6,848,021","4,993,461","1,655,503","1,456,303","4,439,494","53.86"
2023/12/19,"73,000","73,400","72,800","73,400",▲,"500","+0.69","8,907,632","650,825","0.06","-634,126","1,207,436","855,333","-244,187","982,746","53.83"
2023/12/18,"73,300","73,400","72,800","72,900",▼,"-400","-0.55","9,690,551","708,307","0.07","920,467","-1,125,689","-57,994","127,071","863,994","53.82"
2023/12/15,"73,800","74,000","73,200","73,300",▲,"200","+0.27","15,419,815","1,134,484","0.07","-1,755,385","599,761","1,076,582","1,181,051","2,593,092","53.82"
2023/12/14,"74,100","74,300","72,500","73,100",▲,"300","+0.41","27,567,593","2,025,360","0.06","-2,228,440","-579,888","5,327,925","1,495,441","2,975,586","53.80"
2023/12/13,"73,300","73,500","72,800","72,800",▼,"-700","-0.95","13,116,766","959,556","0.07","-419,547","974,940","1,295,849","-550,131","-320,372","53.71"
2023/12/12,"73,300","73,500","73,100","73,500",▲,"500","+0.68","13,758,646","1,009,135","0.07","-3,551,722","3,444,994","-259,275","-413,006","1,764,524","53.69"
2023/12/11,"72,800","73,000","72,200","73,000",▲,"400","+0.55","9,861,960","716,958","0.07","-1,824,248","487,514","3,739,883","-75,343","1,478,788","53.70"
2023/12/08,"72,100","72,800","71,900","72,600",▲,"1,100","+1.54","10,859,463","787,230","0.07","-3,605,492","2,197,771","-618,276","1,255,439","2,081,658","53.63"
2023/12/07,"71,800","71,900","71,100","71,500",▼,"-200","-0.28","8,862,017","633,466","0.07","-53,455","-1,451,883","2,242,777","868,351","681,954","53.64"
2023/12/06,"71,800","72,100","71,600","71,700",▲,"500","+0.70","8,123,087","583,710","0.07","-1,101,616","587,187","710,878","289,098","351,498","53.61"
2023/12/05,"72,300","72,400","71,200","71,200",▼,"-1,400","-1.93","12,129,682","867,872","0.07","1,972,315","-1,058,878","-915,190","-1,750,342","348,278","53.59"
2023/12/04,"72,800","72,900","72,400","72,600",▲,"600","+0.83","10,229,267","743,360","0.07","-1,890,483","396,482","1,627,021","1,315,795","-160,524","53.61"
2023/12/01,"72,400","72,500","71,700","72,000",▼,"-800","-1.10","9,871,284","710,940","0.07","1,097,236","-892,585","-14,172","15,339","-686,223","53.58"
2023/11/30,"72,700","72,800","72,200","72,800",▲,"100","+0.14","15,783,714","1,146,427","0.07","-300,667","1,222,820","-680,642","-565,090","-980,023","53.58"
2023/11/29,"72,400","72,800","72,200","72,700", ,"0","0","9,283,933","673,194","0.07","-696,080","-1,566,656","2,827,121","2,674,716","1,115,978","53.59"
2023/11/28,"71,400","72,700","71,300","72,700",▲,"1,400","+1.96","13,283,081","958,104","0.07","-2,424,728","1,895,066","603,367","718,103","-444,128","53.55"
2023/11/27,"71,500","72,100","71,100","71,300",▼,"-400","-0.56","9,113,857","651,550","0.07","286,047","861,246","-1,037,958","-1,370,038","-297,949","53.54"
2023/11/24,"72,400","72,600","71,700","71,700",▼,"-700","-0.97","6,676,685","481,177","0.07","398,648","157,051","242,064","-611,590","-416,474","53.55"
2023/11/23,"73,000","73,200","72,200","72,400",▼,"-400","-0.55","6,775,614","491,572","0.07","265,526","-649,677","469,783","491,753","609,049","53.55"
2023/11/22,"72,200","73,000","71,900","72,800", ,"0","0","11,105,143","803,720","0.06","-588,340","-1,602,111","2,813,737","446,929","-187,713","53.54"
2023/11/21,"73,100","73,400","72,700","72,800",▲,"100","+0.14","9,712,881","709,805","0.06","-1,280,700","231,620","1,270,368","1,534,355","400,784","53.50"
2023/11/20,"72,100","73,000","72,100","72,700",▲,"200","+0.28","10,610,157","771,288","0.07","-2,145,979","1,684,072","844,134","1,057,620","-237,955","53.47"
2023/11/17,"72,300","73,000","72,300","72,500",▼,"-300","-0.41","11,494,644","834,899","0.07","-2,068,293","-508,830","2,595,092","3,082,722","467,221","53.46"
2023/11/16,"72,500","73,000","72,300","72,800",▲,"600","+0.83","15,860,451","1,151,617","0.08","-4,549,876","-268,617","5,421,802","5,025,545","2,143,270","53.42"
2023/11/15,"71,600","72,200","71,500","72,200",▲,"1,400","+1.98","20,148,677","1,449,276","0.08","-9,642,687","5,189,485","5,215,082","4,417,603","2,238,637","53.33"
2023/11/14,"71,000","71,100","70,600","70,800",▲,"400","+0.57","9,567,984","678,177","0.08","-2,250,137","2,738,974","1,232,081","-135,989","334,807","53.24"
2023/11/13,"71,300","71,300","70,300","70,400",▼,"-100","-0.14","9,246,919","653,603","0.08","-1,330,950","1,031,726","433,061","732,433","136,100","53.22"
2023/11/10,"70,000","70,500","69,500","70,500",▲,"200","+0.28","9,684,347","677,562","0.08","-611,130","43,049","278,766","191,493","477,976","53.21"
2023/11/09,"69,900","70,800","69,600","70,300",▲,"400","+0.57","12,301,373","865,006","0.08","-1,966,744","-153,416","2,992,870","1,962,669","-786,496","53.21"
2023/11/08,"71,300","71,400","69,700","69,900",▼,"-1,000","-1.41","12,901,310","908,216","0.08","117,041","115,384","-531,665","124,575","-670,049","53.16"
2023/11/07,"70,600","70,900","70,000","70,900", ,"0","0","17,228,731","1,213,169","0.08","-2,603,903","-1,397,392","3,340,440","3,000,755","2,404,286","53.16"
2023/11/06,"69,800","70,900","69,300","70,900",▲,"1,300","+1.87","22,228,489","1,555,020","0.08","-2,034,709","1,401,147","-1,002,528","602,720","1,167,151","53.11"
2023/11/03,"69,700","70,200","69,500","69,600",▼,"-100","-0.14","10,322,234","720,443","0.08","-1,273,641","14,881","867,958","528,941","-353,221","53.13"
2023/11/02,"70,000","70,000","69,400","69,700",▲,"1,100","+1.60","16,350,031","1,140,762","0.09","-2,991,770","213,313","2,856,250","1,578,814","1,133,150","53.11"
2023/11/01,"67,500","68,900","67,300","68,600",▲,"1,700","+2.54","13,775,256","939,331","0.09","-2,224,946","2,208,177","-545,993","336,897","-322,229","53.06"
2023/10/31,"67,600","68,300","66,900","66,900",▼,"-400","-0.59","14,488,892","975,300","0.09","236,341","56,618","-330,643","-788,485","-35,158","53.07"
2023/10/30,"66,800","67,800","66,700","67,300", ,"0","0","10,139,270","681,863","0.09","-201,914","646,493","1,291,361","-150,353","-999,180","53.08"
2023/10/27,"67,100","67,300","66,700","67,300",▲,"600","+0.90","11,334,726","759,193","0.09","139,316","809,250","-575,869","-2,712,733","-214,528","53.06"
2023/10/26,"67,000","67,900","66,700","66,700",▼,"-1,300","-1.91","15,517,624","1,040,151","0.09","1,469,040","-79,861","-892,536","-1,284,999","-899,788","53.07"
2023/10/25,"68,800","68,800","67,900","68,000",▼,"-500","-0.73","10,610,703","724,468","0.09","555,160","61,338","-329,600","-3,561","-402,190","53.08"
2023/10/24,"68,700","68,800","67,700","68,500",▲,"100","+0.15","12,791,710","874,148","0.09","605,873","-274,521","-476,421","-850,923","-466,823","53.09"
2023/10/23,"68,700","69,100","68,200","68,400",▼,"-400","-0.58","11,625,959","796,396","0.09","480,445","782,320","-1,263,040","-1,655,484","-691,731","53.09"
2023/10/20,"68,900","69,200","68,100","68,800",▼,"-700","-1.01","15,204,495","1,045,222","0.09","258,971","-851,324","411,830","968,949","1,230,882","53.12"
2023/10/19,"69,700","70,000","69,400","69,500",▼,"-1,000","-1.42","13,985,012","973,452","0.10","-140,821","-707,480","1,115,263","1,290,050","-1,634,397","53.11"
2023/10/18,"68,900","70,500","68,800","70,500",▲,"1,100","+1.59","16,493,184","1,153,209","0.10","-4,884,457","4,272","4,457,160","4,461,573","686,762","53.09"
2023/10/17,"67,700","69,900","67,400","69,400",▲,"2,100","+3.12","17,299,253","1,188,353","0.10","-3,314,464","-1,343,955","3,590,050","5,538,109","2,026,496","53.01"
2023/10/16,"67,900","68,500","66,800","67,300",▼,"-700","-1.03","12,599,299","848,737","0.09","1,099,264","43,298","-1,277,206","-2,727,601","1,834,428","52.95"
2023/10/13,"68,000","68,500","67,700","68,000",▼,"-900","-1.31","9,724,086","661,424","0.09","754,519","-34,109","-784,771","-1,038,105","1,455,334","52.98"
2023/10/12,"68,600","69,700","68,200","68,900",▲,"700","+1.03","19,311,380","1,330,251","0.10","-335,116","750,237","-123,400","-667,166","777,055","52.99"
2023/10/11,"68,600","69,400","67,900","68,200",▲,"1,800","+2.71","25,209,349","1,728,594","0.10","-3,396,837","3,000,020","369,977","-1,760,498","1,033,662","52.99"
2023/10/10,"66,200","67,600","66,200","66,400",▲,"400","+0.61","19,889,202","1,331,414","0.09","-224,643","3,603,726","-4,024,868","-2,985,158","132,716","52.99"
2023/10/06,"67,100","67,300","66,000","66,000",▼,"-700","-1.05","14,386,527","955,787","0.09","3,374,272","842,829","-4,785,114","-4,408,251","-1,440,110","53.05"
2023/10/05,"67,300","67,400","66,700","66,700",▼,"-800","-1.19","16,108,313","1,078,383","0.09","3,018,347","368,821","-2,364,093","-3,552,247","-3,530,368","53.13"
2023/10/04,"67,400","67,700","66,700","67,500",▼,"-900","-1.32","23,361,149","1,569,870","0.09","3,059,161","-1,273,253","-1,774,188","-1,581,770","-3,039,284","53.17"
2023/09/27,"68,600","69,100","68,200","68,400",▼,"-200","-0.29","14,886,491","1,019,873","0.09","398,692","-1,219,925","595,386","1,381,033","-104,938","53.20"
2023/09/26,"70,000","70,000","68,400","68,600",▼,"-800","-1.15","13,143,470","904,380","0.09","2,222,280","-2,653,012","642,417","-334,807","-1,739,962","53.19"
2023/09/25,"68,500","69,700","68,500","69,400",▲,"600","+0.87","13,582,516","940,526","0.09","-273,222","-138,686","-13,806","826,399","-2,552,229","53.18"
2023/09/22,"68,300","68,900","68,300","68,800",▼,"-100","-0.15","9,897,840","678,768","0.09","977,624","-864,000","-556,097","40,900","-2,229,527","53.18"
2023/09/21,"69,200","69,800","68,800","68,900",▼,"-700","-1.01","10,796,336","746,680","0.09","1,156,782","-3,434,692","1,185,584","2,049,538","-626,311","53.19"
2023/09/20,"70,000","70,300","69,500","69,600",▼,"-200","-0.29","10,873,015","758,467","0.09","923,562","-518,013","-384,021","-726,217","-1,070,169","53.17"
2023/09/19,"70,400","70,800","69,600","69,800",▼,"-400","-0.57","11,820,188","828,073","0.07","1,983,346","-2,620,478","642,600","758,917","-749,880","53.18"
2023/09/18,"71,300","71,700","70,200","70,200",▼,"-1,800","-2.50","16,040,727","1,134,189","0.08","2,275,935","-710,561","-805,293","-2,376,853","-1,447,008","53.17"
2023/09/15,"71,700","72,300","71,400","72,000",▲,"300","+0.42","17,823,512","1,283,667","0.09","-4,074,980","5,039,137","-1,768,263","-61,636","-538,142","53.18"
2023/09/14,"71,200","71,800","70,800","71,700",▲,"800","+1.13","21,041,407","1,504,489","0.09","-3,076,913","7,910,222","-4,694,498","-3,946,660","-592,712","53.21"
2023/09/13,"71,100","71,600","70,300","70,900",▲,"400","+0.57","15,955,797","1,131,860","0.09","-1,422,860","1,310,414","173,007","-89,009","142,031","53.29"
2023/09/12,"70,800","71,000","70,400","70,500",▼,"-300","-0.42","11,688,599","825,296","0.09","-309,102","418,131","295,081","380,317","33,646","53.29"
2023/09/11,"70,400","70,800","70,000","70,800",▲,"500","+0.71","11,785,462","830,035","0.09","-1,150,922","442,245","708,871","1,556,967","167,819","53.28"
2023/09/08,"70,200","70,300","69,600","70,300",▼,"-100","-0.14","10,688,118","747,653","0.09","110,197","-126,529","485,863","634,893","-1,657,752","53.27"
2023/09/07,"70,000","70,600","69,600","70,400",▲,"400","+0.57","13,741,241","964,327","0.09","-762,043","-552,642","1,349,611","2,145,557","544,758","53.26"
2023/09/06,"70,700","70,800","69,700","70,000",▼,"-700","-0.99","11,414,620","799,882","0.09","-36,168","-845,782","741,746","1,218,521","-68,776","53.24"
2023/09/05,"70,900","71,500","70,200","70,700",▼,"-500","-0.70","12,330,239","871,402","0.09","-669,218","-1,050,231","1,779,875","1,629,536","1,747,674","53.23"
2023/09/04,"72,900","72,900","70,700","71,200",▲,"200","+0.28","26,286,495","1,881,297","0.09","-2,466,982","-939,928","3,219,879","5,016,403","-2,605,658","53.20"
2023/09/01,"66,800","71,000","66,700","71,000",▲,"4,100","+6.13","29,738,235","2,064,179","0.09","-9,939,810","2,018,992","7,958,612","6,899,203","6,116,708","53.14"
2023/08/31,"67,100","67,200","66,400","66,900",▼,"-200","-0.30","15,964,630","1,066,351","0.09","704,059","1,120,554","-2,340,499","-1,514,438","-2,388,362","53.01"
2023/08/30,"67,300","67,700","67,100","67,100",▲,"300","+0.45","9,181,223","618,598","0.09","-954,503","718,539","511,794","-86,845","528,833","53.05"
2023/08/29,"66,900","67,200","66,600","66,800", ,"0","0","9,114,352","608,551","0.09","964,283","-317,482","-689,418","-480,490","-1,018,765","53.04"
2023/08/28,"66,800","67,000","66,500","66,800",▼,"-300","-0.45","5,824,628","388,538","0.09","1,223,458","-65,786","-1,889,214","-580,888","-1,268,993","53.05"
2023/08/25,"67,100","67,400","66,900","67,100",▼,"-1,100","-1.61","7,032,462","471,934","0.09","1,168,960","-893,424","142,966","407,591","-1,191,935","53.08"
2023/08/24,"68,300","68,700","67,900","68,200",▲,"1,100","+1.64","15,044,463","1,026,978","0.09","-1,996,273","1,393,677","787,803","672,686","270,094","53.08"
2023/08/23,"66,700","67,100","66,400","67,100",▲,"500","+0.75","9,549,352","638,222","0.09","-570,336","-8,454","676,259","568,740","43,297","53.07"
2023/08/22,"67,200","67,700","66,300","66,600", ,"0","0","10,500,242","702,152","0.09","196,819","-66,993","-376,052","-721,161","-663,701","53.06"
2023/08/21,"66,600","67,100","66,300","66,600",▲,"300","+0.45","9,720,067","647,499","0.09","72,212","-223,911","130,872","86,104","279,647","53.06"
2023/08/18,"66,000","66,700","65,800","66,300",▼,"-400","-0.60","11,745,006","778,551","0.09","866,866","-932,690","363,741","-625,039","-232,268","53.06"
2023/08/17,"66,300","66,800","66,000","66,700",▼,"-300","-0.45","10,778,652","716,096","0.09","712,954","-302,148","-592,932","-903,876","-54,048","53.05"
2023/08/16,"66,700","67,100","66,300","67,000",▼,"-300","-0.45","13,174,578","879,111","0.09","943,889","-1,437,535","434,674","457,754","150,592","53.06"
2023/08/14,"67,500","67,900","66,900","67,300",▼,"-200","-0.30","9,352,343","629,306","0.08","1,310,612","-1,596,050","480,298","-351,766","514,718","53.06"
2023/08/11,"68,400","68,800","67,500","67,500",▼,"-500","-0.74","9,781,038","664,313","0.08","2,458,791","-759,366","-1,783,650","-1,434,621","-1,232,079","53.05"
2023/08/10,"68,300","68,500","67,800","68,000",▼,"-900","-1.31","10,227,311","695,338","0.08","1,923,741","-784,461","-929,435","-1,104,646","-2,550,695","53.08"
2023/08/09,"68,000","69,600","67,900","68,900",▲,"1,300","+1.92","17,259,673","1,190,099","0.07","-1,884,181","-1,617,395","3,454,135","3,546,645","189,964","53.09"
2023/08/08,"69,000","69,100","67,400","67,600",▼,"-900","-1.31","14,664,709","995,836","0.08","2,566,452","-2,333,365","858,042","-562,597","241,524","53.04"
2023/08/07,"67,700","69,200","67,600","68,500",▲,"200","+0.29","10,968,505","753,452","0.07","-243,825","-1,156,048","1,576,186","883,818","1,376,522","53.02"
2023/08/04,"68,800","69,100","68,200","68,300",▼,"-500","-0.73","12,360,193","846,916","0.07","2,801,925","-1,411,312","-1,463,824","-1,647,390","-1,424,943","52.99"
2023/08/03,"69,900","70,200","68,500","68,800",▼,"-1,100","-1.57","20,087,090","1,393,671","0.07","3,722,845","-2,857,157","-704,588","-1,718,970","382,745","53.02"
2023/08/02,"70,700","71,000","69,800","69,900",▼,"-1,200","-1.69","13,835,020","972,618","0.07","1,792,800","-2,056,269","-199,715","1,073,552","-665,256","53.03"
2023/08/01,"70,100","71,200","70,000","71,100",▲,"1,300","+1.86","12,299,254","869,663","0.07","-2,942,674","1,181,977","1,675,661","1,839,204","1,903,937","53.03"
2023/07/31,"70,900","71,000","69,800","69,800",▼,"-800","-1.13","13,035,420","914,994","0.07","2,044,521","-1,474,663","-864,959","609,472","-556,105","53.01"
2023/07/28,"71,800","72,400","70,100","70,600",▼,"-1,100","-1.53","19,420,683","1,374,117","0.07","1,826,670","-1,520,016","-201,494","-82,264","-993,095","53.02"
2023/07/27,"69,900","71,700","69,300","71,700",▲,"1,900","+2.72","24,261,179","1,716,359","0.07","-4,092,665","3,113,953","1,518,706","1,280,512","984,225","53.02"
2023/07/26,"69,800","70,600","68,100","69,800",▼,"-200","-0.29","30,016,221","2,074,076","0.07","622,210","1,084,844","-1,334,307","98,374","-1,536,859","53.00"
2023/07/25,"70,000","70,500","69,800","70,000",▼,"-400","-0.57","14,314,945","1,002,553","0.07","49,193","-963,317","955,356","1,104,868","-940,037","53.02"
2023/07/24,"70,100","70,900","69,900","70,400",▲,"100","+0.14","13,418,597","945,209","0.05","-2,249,447","-563,794","3,003,859","2,407,064","2,421,837","53.01"
2023/07/21,"70,400","70,400","69,400","70,300",▼,"-700","-0.99","16,528,926","1,155,386","0.05","3,655,097","311,816","-3,563,620","-3,921,977","-823,435","52.95"
2023/07/20,"71,100","71,500","70,800","71,000",▼,"-700","-0.98","9,732,730","692,488","0.05","980,710","-880,692","1,391,009","40,322","190,441","53.01"
2023/07/19,"72,700","72,800","71,300","71,700",▼,"-300","-0.42","10,896,412","782,147","0.05","712,280","-1,200,719","76,684","397,049","1,100,516","52.99"
2023/07/18,"73,200","73,500","72,000","72,000",▼,"-1,300","-1.77","11,697,900","847,564","0.05","1,358,010","-652,330","-1,505,047","-625,275","-635,879","52.99"
2023/07/17,"73,200","73,500","72,800","73,300",▼,"-100","-0.14","10,060,049","736,819","0.05","-1,618,109","96,575","1,375,359","610,621","1,354,053","53.02"
2023/07/14,"72,500","73,400","72,400","73,400",▲,"1,500","+2.09","15,882,519","1,159,932","0.05","-8,507,528","3,837,175","5,104,549","4,305,317","2,216,043","52.99"
2023/07/13,"72,400","72,600","71,900","71,900", ,"0","0","14,417,279","1,041,645","0.05","-2,815,287","2,336,965","559,280","755,915","-1,428,396","52.91"
2023/07/12,"71,200","72,000","71,100","71,900",▲,"400","+0.56","10,375,581","742,662","0.07","-1,078,396","-648,705","1,918,273","1,841,763","598,028","52.90"
2023/07/11,"70,200","71,500","70,100","71,500",▲,"2,000","+2.88","12,177,392","863,674","0.07","-1,601,604","763,929","2,245,888","991,800","164,904","52.87"
2023/07/10,"70,000","70,400","69,200","69,500",▼,"-400","-0.57","11,713,926","816,772","0.05","703,577","-767,972","-131,051","-579,280","-28,388","52.83"
2023/07/07,"71,100","71,400","69,800","69,900",▼,"-1,700","-2.37","17,308,877","1,215,404","0.05","4,293,318","-3,168,658","-988,670","-1,340,819","-1,966,344","52.83"
2023/07/06,"71,900","72,400","71,500","71,600",▼,"-400","-0.56","14,777,667","1,061,492","0.05","361,117","-1,425,400","1,211,878","840,582","78,089","52.85"
2023/07/05,"73,000","73,300","71,900","72,000",▼,"-1,000","-1.37","12,310,610","889,637","0.05","1,713,116","-2,733,297","1,104,303","-486,451","1,064,480","52.83"
2023/07/04,"73,400","73,600","72,900","73,000", ,"0","0","10,214,350","747,624","0.05","-957,683","-1,215,754","1,961,488","2,266,507","1,406,500","52.81"
2023/07/03,"72,700","73,200","72,600","73,000",▲,"800","+1.11","10,722,181","782,251","0.05","-2,543,961","2,570,362","-712,988","345,287","-586,229","52.77"
2023/06/30,"72,500","72,700","71,700","72,200",▼,"-200","-0.28","11,694,765","844,354","0.05","-333,569","-254,295","-70,694","-955,556","539,888","52.79"
2023/06/29,"73,100","73,400","72,400","72,400",▼,"-300","-0.41","12,229,967","891,731","0.05","-1,227,586","-819,326","2,178,850","1,610,710","639,740","52.79"
2023/06/28,"72,600","72,700","72,000","72,700",▲,"100","+0.14","8,783,093","635,517","0.05","-954,312","60,251","-1,265,117","1,199,834","735,090","52.75"
2023/06/27,"72,500","72,600","72,000","72,600",▲,"200","+0.28","9,442,997","683,625","0.06","-1,909,424","-417,828","2,469,477","965,536","922,937","52.77"
2023/06/26,"71,700","72,500","71,500","72,400",▲,"800","+1.12","10,541,901","761,525","0.06","-4,209,813","899,067","3,590,069","2,750,883","2,062,411","52.73"
2023/06/23,"72,000","72,200","71,600","71,600",▲,"300","+0.42","12,329,484","885,946","0.07","-2,763,938","-1,572,987","4,796,195","3,643,147","1,258,776","52.67"
2023/06/22,"70,200","71,500","70,100","71,300",▲,"800","+1.13","11,411,007","811,438","0.06","-2,287,045","323,039","1,016,766","1,382,661","1,269,037","52.59"
2023/06/21,"70,700","71,200","70,400","70,500",▼,"-900","-1.26","10,626,603","752,121","0.06","918,236","-370,281","-752,484","-733,369","-29,029","52.57"
2023/06/20,"70,700","71,400","70,400","71,400",▲,"200","+0.28","11,557,883","820,834","0.06","-536,281","-425,787","1,159,308","1,062,838","1,402,841","52.59"
2023/06/19,"71,300","71,700","70,900","71,200",▼,"-600","-0.84","11,100,887","789,407","0.06","176,547","-553,174","208,470","204,369","-374,352","52.57"
2023/06/16,"71,800","71,900","70,900","71,800",▲,"300","+0.42","15,373,696","1,098,193","0.06","149,518","-1,663,586","1,772,727","804,502","649,367","52.56"
2023/06/15,"72,100","72,300","71,300","71,500",▼,"-400","-0.56","13,614,994","977,638","0.06","-357,938","-340,974","-825,922","168,537","-364,620","52.53"
2023/06/14,"72,100","72,200","71,100","71,900",▼,"-100","-0.14","12,541,046","898,256","0.06","-253,641","-447,189","313,310","110,589","-327,056","52.55"
2023/06/13,"71,700","72,200","71,600","72,000",▲,"1,000","+1.41","13,227,285","950,995","0.06","-2,747,700","974,733","1,240,531","1,138,742","1,315,053","52.54"
2023/06/12,"72,100","72,400","70,800","71,000",▼,"-1,000","-1.39","12,064,287","861,582","0.06","1,277,277","481,420","-2,805,966","-1,787,376","-246,111","52.52"
2023/06/09,"71,100","72,300","70,800","72,000",▲,"1,100","+1.55","15,050,209","1,080,650","0.06","-3,790,321","1,426,900","2,815,023","2,201,838","908,848","52.57"
2023/06/08,"70,400","70,900","70,000","70,900",▼,"-100","-0.14","19,165,568","1,351,298","0.06","-595,936","459,385","-151,767","197,176","13,160","52.52"
2023/06/07,"71,300","71,600","70,800","71,000",▼,"-700","-0.98","14,796,613","1,052,878","0.06","-251,427","1,544,774","-897,106","-1,364,553","41,333","52.52"
2023/06/05,"72,700","72,700","71,400","71,700",▼,"-500","-0.69","12,686,829","911,317","0.06","408,758","987,758","-284,691","-1,088,111","-2,185,573","52.54"
2023/06/02,"71,700","72,200","71,600","72,200",▲,"1,300","+1.83","12,161,798","874,631","0.06","-2,509,710","31,590","2,921,773","1,986,724","1,880,633","52.54"
2023/06/01,"70,900","71,600","70,600","70,900",▼,"-500","-0.70","14,669,296","1,041,791","0.06","250,913","-1,474,724","1,100,578","908,344","1,354,121","52.49"
